,Symbol,Name,Price,1h Δ,24h Δ,24h vol,Market cap (USD),Supply,Updated
76,<a href=https://cryptocompare.com/coins/flow/overview>FLOW</a>,<a href=https://cryptocompare.com/coins/flow/overview>Flow - Dapper Labs</a>,6.62,<p class=green>+0.99</p>,<p class=green>+4.61</p>,"29,007,974.0","2,360,113,562.0","356,458,777.0",2022-03-26 23:39:08
77,<a href=https://cryptocompare.com/coins/mina/overview>MINA</a>,<a href=https://cryptocompare.com/coins/mina/overview>Mina Protocol</a>,2.57,<p class=red>-0.77</p>,<p class=green>+3.63</p>,"28,329,099.0","2,322,616,972.0","903,742,012.0",2022-03-26 23:37:23
78,<a href=https://cryptocompare.com/coins/nexo/overview>NEXO</a>,<a href=https://cryptocompare.com/coins/nexo/overview>NEXO</a>,2.32,<p class=green>+0.01</p>,<p class=green>+0.23</p>,"1,653,523.0","2,318,019,770.0","1,000,000,000.0",2022-03-26 23:39:03
79,<a href=https://cryptocompare.com/coins/miota/overview>MIOTA</a>,<a href=https://cryptocompare.com/coins/miota/overview>IOTA</a>,0.83,<p class=green>+1.06</p>,<p class=green>+5.94</p>,"23,310,196.0","2,306,176,276.0","2,779,530,283.0",2022-03-26 23:39:02
80,<a href=https://cryptocompare.com/coins/ar/overview>AR</a>,<a href=https://cryptocompare.com/coins/ar/overview>Arweave</a>,35.59,<p class=green>+0.62</p>,<p class=green>+3.72</p>,"34,800,421.0","2,299,410,838.0","64,598,643.0",2022-03-26 23:39:04
81,<a href=https://cryptocompare.com/coins/cel/overview>CEL</a>,<a href=https://cryptocompare.com/coins/cel/overview>Celsius Network</a>,3.29,<p class=red>-0.01</p>,<p class=red>-0.95</p>,"291,279.0","2,280,811,439.0","693,942,432.0",2022-03-26 23:39:03
82,<a href=https://cryptocompare.com/coins/xdc/overview>XDC</a>,<a href=https://cryptocompare.com/coins/xdc/overview>Xinfin Network</a>,0.06,<p class=green>+1.03</p>,<p class=green>+4.61</p>,"2,885,470.0","2,228,309,538.0","37,705,012,698.0",2022-03-26 23:39:03
83,<a href=https://cryptocompare.com/coins/chz/overview>CHZ</a>,<a href=https://cryptocompare.com/coins/chz/overview>Chiliz</a>,0.24,<p class=green>+0.33</p>,<p class=red>-1.98</p>,"107,361,980.0","2,154,666,666.0","8,888,888,888.0",2022-03-26 23:38:58
84,<a href=https://cryptocompare.com/coins/cake/overview>CAKE</a>,<a href=https://cryptocompare.com/coins/cake/overview>PancakeSwap</a>,7.35,<p class=green>+0.5</p>,<p class=green>+4.06</p>,"49,225,162.0","2,058,551,077.0","280,122,820.0",2022-03-26 23:39:04
85,<a href=https://cryptocompare.com/coins/fxs/overview>FXS</a>,<a href=https://cryptocompare.com/coins/fxs/overview>Frax Share</a>,20.65,<p class=green>+0.95</p>,<p class=green>+13.77</p>,"17,302,734.0","2,049,429,422.0","99,252,741.0",2022-03-26 23:39:04
86,<a href=https://cryptocompare.com/coins/one/overview>ONE</a>,<a href=https://cryptocompare.com/coins/one/overview>Harmony</a>,0.15,<p class=green>+0.67</p>,<p class=green>+4.64</p>,"55,651,720.0","2,025,801,966.0","13,398,161,153.0",2022-03-26 23:38:03
87,<a href=https://cryptocompare.com/coins/mkr/overview>MKR</a>,<a href=https://cryptocompare.com/coins/mkr/overview>Maker</a>,"2,016.24",<p class=green>+0.39</p>,<p class=green>+0.33</p>,"9,495,648.0","1,971,138,801.0","977,631.0",2022-03-26 23:38:23
88,<a href=https://cryptocompare.com/coins/ht/overview>HT</a>,<a href=https://cryptocompare.com/coins/ht/overview>Huobi Token</a>,9.09,<p class=green>+0.07</p>,<p class=green>+2.02</p>,"10,878,047.0","1,906,899,444.0","209,826,083.0",2022-03-26 23:38:56
89,<a href=https://cryptocompare.com/coins/jasmy/overview>JASMY</a>,<a href=https://cryptocompare.com/coins/jasmy/overview>JasmyCoin</a>,0.04,<p class=red>-0.17</p>,<p class=red>-7.44</p>,"672,415.0","1,810,499,999.0","49,999,999,999.0",2022-03-26 23:38:29
90,<a href=https://cryptocompare.com/coins/xrd/overview>XRD</a>,<a href=https://cryptocompare.com/coins/xrd/overview>Radix</a>,0.15,<p class=green>+0.48</p>,<p class=green>+0.07</p>,"101,477.0","1,805,376,170.0","12,214,994,384.0",2022-03-26 23:39:08
91,<a href=https://cryptocompare.com/coins/stx/overview>STX</a>,<a href=https://cryptocompare.com/coins/stx/overview>Stacks</a>,1.36,<p class=green>+0.89</p>,<p class=green>+1.56</p>,"7,181,115.0","1,779,730,286.0","1,304,787,600.0",2022-03-26 23:39:08
92,<a href=https://cryptocompare.com/coins/ens/overview>ENS</a>,<a href=https://cryptocompare.com/coins/ens/overview>Ethereum Name Service</a>,17.35,<p class=green>+0.23</p>,<p class=red>-1.25</p>,"17,997,248.0","1,735,000,000.0","100,000,000.0",2022-03-26 23:39:05
93,<a href=https://cryptocompare.com/coins/nu/overview>NU</a>,<a href=https://cryptocompare.com/coins/nu/overview>NuCypher</a>,0.44,<p class=green>+0.69</p>,<p class=green>+0.5</p>,"852,581.0","1,708,406,018.0","3,885,390,081.0",2022-03-26 23:38:29
94,<a href=https://cryptocompare.com/coins/bsv/overview>BSV</a>,<a href=https://cryptocompare.com/coins/bsv/overview>Bitcoin SV</a>,89.86,<p class=red>-0.01</p>,<p class=green>+0.01</p>,"35,293,219.0","1,708,713,320.0","19,015,282.0",2022-03-26 23:37:45
95,<a href=https://cryptocompare.com/coins/ray/overview>RAY</a>,<a href=https://cryptocompare.com/coins/ray/overview>Raydium</a>,3.07,<p class=green>+0.43</p>,<p class=red>-0.39</p>,"8,740,307.0","1,702,739,999.0","554,999,999.0",2022-03-26 23:39:07
96,<a href=https://cryptocompare.com/coins/xch/overview>XCH</a>,<a href=https://cryptocompare.com/coins/xch/overview>Chia</a>,68.95,<p class=green>+0.32</p>,<p class=green>+0.47</p>,"5,443,112.0","1,689,186,718.0","24,499,665.0",2022-03-26 23:39:04
97,<a href=https://cryptocompare.com/coins/enj/overview>ENJ</a>,<a href=https://cryptocompare.com/coins/enj/overview>Enjin Coin</a>,1.66,<p class=green>+0.67</p>,<p class=green>+2.6</p>,"34,197,166.0","1,658,000,000.0","1,000,000,000.0",2022-03-26 23:38:58
98,<a href=https://cryptocompare.com/coins/lyxe/overview>LYXE</a>,<a href=https://cryptocompare.com/coins/lyxe/overview>LUKSO</a>,16.38,<p class=red>-0.26</p>,<p class=red>-3.02</p>,"1,208,827.0","1,637,710,847.0","100,000,000.0",2022-03-26 23:39:03
99,<a href=https://cryptocompare.com/coins/xec/overview>XEC</a>,<a href=https://cryptocompare.com/coins/xec/overview>eCash</a>,0.0,<p class=green>+4.91</p>,<p class=green>+2.4</p>,"6,098,578.0","1,630,009,379.0","19,015,508,396,789.0",2022-03-26 23:38:49
